text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
@ahh_lucky 発散というか、愚痴聞いてもらって、共感してもらって解消してるってイメージ。ちなみに人の話を聞くのだけはめちゃめちゃ上手いので、やっと自分の持ち味を出せるようになってきた感じだよー
@Kanaske_ ま、その予定を知ったのが昨日の深夜でね。。。起きた時にはスッカリ忘れてたぜ。。。
一気にカッコよさが半減した(笑) QT @JunItabashi: @kiwipon いよっ，替玉おうじ～！
昨日来た初回のお客さんから、癒し系で一番王子様っぽかったってメール貰ってちょっと嬉しかった(笑)やっと王子様キャラが確立したかなぁ。
@Kanaske_ 完全に忘れててテラ欝ww
@Kanaske_ 13時スタートでした(笑)後で議事録確認しようーっと。
@Kanaske_ 自主ゼミ放棄w
ホストに来るお客さんの求めるもの は、本当に人それぞれ。 求めるものを探りつつ、手を変え品を変 えで接客するんだけど、根底にあるの は我々はストレスの最終処分場であるという意識。 直接や間接的に、それぞれの明日への活力に繋がってい れば良いな♪
@red_shell2 ありがとうございます！
学校の自主ゼミがあったことを今思い出した。orzorz
@GOOD08664398 よろしく〜
@eihohminamitani あざます！
@kay38kay おー！嬉しい共通点！
@ZabonKitayama 予定なしです〜(笑)ザーボンさんは？
特筆すべき社説＞＞小沢判決／検察の「闇」が裁かれた　全面可視化しか道はない - 琉球新報 - 沖縄の新聞、地域のニュース http://t.co/ECYfSWIB
@toyama_kic ありがとうございます！
@gyouan ついっぷるも移せるんですね〜。ありがとうございます！
@NAOmania ありがとう〜！
@NAOmania ありがとう。でも、ツイットバードが見つからない。。。iPhoneのとは違うんだよね？？
SDカードに移せるAndroid用のTwitterクライアント無いかなぁ。。。
@infinitySHERRY ドンペリて(笑)
あーこれ、風邪で熱有るパターンかも。
@Felice358Hana アハー。寝る子は育つ！
@openarms1986 なかま♪
@arihoy 帰り新幹線とか無かったっけ？
@furuyabunta 良いですね！
@asu_pi おはよー
@erieri1110 あれ、いつの間にか東京進出してたのね。
夜のはこれか～＞＞地震情報 - 2012年4月25日 5時22分頃発生した地震 最大震度：4 震源地：千葉県東方沖 - 日本気象協会 tenki.jp @tenkijp http://t.co/foPZkX1X
@harurunnnino いいよん♪
@munyumomo あざまーす♪
@lihong40 食べにおいでませ～
@openarms1986 プーさんです。
@sashayoshihiko にゃるほどｗ
@arihoy えｗ
@kanonn82 どったん。
@perfume__love あざっす！
@strangeQuom たべにおいで（笑）
@sennentuki あり♪
@saluer ありがとうございます！
@keikokeiko55 そうだよん♪
@lady49japan 歌舞伎町来ればね～（笑）
ブログを更新しました。「升タワー」→http://t.co/9Ijxcb3r
作った桜餅♪今度は綺麗なピンク色になった♪ http://t.co/sbhV5Pbc
@harurunnnino 喜んで♪
@yuripoipoi ちゆ♪
@topolino1969 あはは、笑顔最強ですね！
@keikokeiko55 あざまーす♪けいこちゃんも笑顔にしたいぜ！
@sashayoshihiko 男でホス狂いって珍しいですね～歌舞伎カモーン♪
@mugi5mugi こちらこそありがとうございます♪
@junitabashi 隣にあるとは、なんと便利な！
@hayakana うははｗ
@harurunnnino こちらこそありがとうございます！よろしくお願いします♪
@kenkosha いいですよね～♪
@machicarmen ありがとうございます！
パットは思い浮かばないなぁ。 RT @dck_k: @kiwipon この辺に詳しい国会議員って誰だろう？ RT @dck_k 無免許運転による痛ましい交通事故が相次いでいるけど、免許証にICチップを埋め込んでそれを差し込まないとエンジンが始動しないようにすればいいんじゃない？
@yuripoipoi 概ねそんな感じね。
@tamami0805 権力は強いる（強いられる）もので、権威は自発的について行くものって話でした。
@munyumomo なんとかみつかった。
@sashayoshihiko 両方やったんですか！？すご。。。
@sa_ra_ca ありがとうございます！
@topolino1969 職場に置き忘れていたらしい。ってわけでみつかってよかった～
@openarms1986 職場に置き忘れていたらしい。
@keikokeiko55 ちょっと違うねｗ店の中ではやってたかもだけど～（笑）
@JunItabashi いいじゃないですか～！一人カラオケ楽しいですよ！！
というわけで、今日の日本政策学校での講義は、司法試験予備校「伊藤塾」塾長の伊藤真先生でした～伊藤先生の講義を聞くのは８年ぶりだなぁ。
権威と権力の違いはベクトルの違いかぁ。。
シャンパンタワーならぬ、枡タワーに戦いを挑んで、無残に敗れ候。
ディズニー携帯なくした(笑)
@Kanaske_ 今日は違うハコでお仕事だよーん
@keikokeiko55 ホストクラブの名前。。。
@Kanaske_ がばれっ！
Love Twitterなう！
ブログを更新しました。「緑の党」→http://t.co/QwauhoFW
赤坂へ向かう。
@jaicotton なんとか帰宅。ありがトン
@jaicotton だいじょばない(笑)
日曜日は終電が早かったらしい。。。
@minnie480811tao @naomison おつ！
@opanpon にゃはは。
@minnie480811tao もう歩き終わったかな？？
顔色が緑色ですねって言われた。俺はナメック星人か！
@puku_puku @yuripoipoi あのつぶつぶモチモチが良いですよね～
@kflflandmorekfl 食べにおこしやすー
@infinitySHERRY 長野は遠いぞ～
@tsumotti0912 こちらこそー
@lordmatic1 あざっす！
@karenchan9 そっちかw
@haru16cherry おつ！
桜は散っちゃったけど、道明寺粉とか、桜の葉の塩漬けとか、桜餅を作る材料を調達。食べたい人は言ってね（笑）
これは悲しすぎるよね～ http://t.co/nUr7kRRI
行動は形にしてこそ。途中までやったけど出来ませんでしたとかの言い訳は、子供でも言える。大切なのは結果。結果を出すこと。だから俺は結果出すために貪欲に頑張るんだ
時間の使い方ってのが重要になってくる。当面はプライベートゼロで、応援してくれる人のために時間使うかな。プライベートはマイナス給与で損していると心得る。学校は逆にその価値を出すために時間を投資。
今日は金曜日なのか。。。ほむ。
@gekkoh7 こちらこそありがとうございます！宜しくお願い致します♪
@dharma1502 よろしくです!
@yanaimiki がんばりましょう７～
@yuripoipoi ども。
@maron7007 嘘ですごめんなさい。可愛いですｗ
@erako1016 行きます～？おいらはワンピース展も同時にいきたいなぁっと思ってますが。
@lady49japan （笑）
@maron7007 詐欺写メキターッ
@sho_skys ありがとうございます♪
@usacoco23 ね～
@lady49japan おっ、うそつきさん？ｗ
@hisakino_dj0217 特に人を傷つけたり、失望させたりするやつかな。
@jowa1296 ね～
@mikotonoai ねー。
どんな人でも与えれた時間は24時間。どんなに頑張っても20時間ぐらいしか動けない。限られた時間の中で、効率的な時間配分を考えなきゃね。無駄を削ぎ落として。
ウソつく人ほんと、むーリー
よくわかりましたね(笑) RT @twitatara: @kiwipon 噂の大人ディズニーショップですか？
お茶っぽい。
ショーンポールを(´・ω・｀)ｼｮﾎﾞｰﾝに空目。
六本木ヒルズ行かないと〜
@keikokeiko55 ありやとー
@England_ おしごとですから。
このはどこ？
缶ビール二3本一気♪
@ahh_lucky ちょりっす（笑）
@___YU___ くノ一がまだ表れない。。。！！
@yu_da_ma チョリッ⭐
@yu_da_ma 他に誰が(笑)
@ahh_lucky どこからその名前が(笑)
@beji32 チョリッス！
@yosiki6666 ♪
@mako1919 ♪
@misaki_a_r チョリッス！
ま、なんだかんだで、応援してくれる人は大切ね、
@misaki_a_r こちらこそありがとうございます！
@yu_da_ma こちらこそ♪
@soccer53gossan おお、記念すべき！
@kotarotamura ホストです。昨日はありがとうございました！アコガレの田村先生とお話できて感激でした！
ついて来れないなら切り捨てると言うよりは、ついて来れないなら振り落とされるか、足を引っ張るなら切り落とすってコトなのか！納得！
@JunItabashi 確率の高い方に掛けたトークですです。
ってわけで、学校からの～、先生を交えた飲み会終了。楽しかったなり！日本再生の鍵と、コレは日本では実現しないということを認識した。キーワードは強い日本人を作るコト。1人でも多く。
"I'm at 渋谷駅 (Shibuya Sta.) (渋谷区, 東京都) w/ 44 others http://t.co/y5sMff9U"
@dck_k 好きだねぇ(笑)
死ぬほど落ち込む事態に遭遇。ズーン↓↓↓
@yukinohi1 ありゃーッス
@ahh_lucky んだね！
@shintakezawa イツモですのよー
@yuripoipoi セカチュウ(笑)
顔がつかれてるって言われた。化粧でごまかせるようになる必要が出てきたなコスメ買って帰ろう〜
"I'm at 銀座線 外苑前駅 (Gaiemmae Sta.) (G03) (港区, 東京都) http://t.co/RRLHC3pE"
@aozora_nyanko 海軍さんはセーラー服やでぇ
@kaz300882 予備自衛官じゃなくて予備自衛官”補”
@karenchan9 スケバンって・・・
@BarthDear ありがと♪
@infinitySHERRY あ、服だけ？
@arihoy リボン買いました。
@JunItabashi ♪
@openarms1986 ありがとう!
@moemilk_ もえかちゃんありがとう～♪
@ahh_lucky なかま☆
んあーっ、予備自衛官補の出願しようとしたけど、もう、申込期間終わっとるやん。。。
結局、一睡もしてないｗさて、頭を切り替えてお仕事お仕事。
@ahh_lucky リアルで会った時に見せる(笑)
@infinitySHERRY 絶対にウェブにはアップしないから！ムリムリムリ
@sayorin811 絶対にそれは出来ない。恥ずかしすぎる。見たいなら見にくるしか無いよ～（笑）
@Kanaske_ 来るしかないね！
予想以上に自分が可愛すぎる。これは絶対に見に来た方が良い。。。かも。。。
@yuripoipoi 機関銃の用意をお願いします（笑）
@yuripoipoi ちょ。。。
@yuripoipoi すね毛は剃ったぜ。。。
"I'm at 東京メトロ 丸ノ内線 新宿駅 (M08) (新宿区, 東京都) http://t.co/GrvgFD1g"
@fumie501118 絶対にそれはやらない（笑）実際に見に来た人限定～
@ZabonKitayama あらら、頑張ってくださいね！
@nekomata7 いいですね！
@BarthDear ですよねー
@fumie501118 これから着る可能性。
@ZabonKitayama 今日からじゃないんですね(笑)
@ahh_lucky 久しぶりに走ったにしては、走り過ぎた。あとが怖い〜苦笑
@yorishima7 ありがとうございます！
@KooFumi イベントでね(笑)
@karenchan9 可愛いじゃん
@Lyra_R 見においで～絶対、写真でアップとかは100%しないと思うんで～
@perfume__love 流石にもうむりー
@ahh_lucky スカーフってどこに売ってるのかなぁと提供してくれるヒトを探してた（笑）
正直、このセーラー服可愛く無いんだよね～。スカーフ黒だし。。。どうせなら可愛いやつ調達したかったッス。
@miki0x0 ざっす！
セーラー服、スカーフ無しでも大丈夫かな？
朝から飛ばしすぎた。これじゃあ体力持たない。どっかで仮眠したいな。。。
Just completed a 7.01 km run - 朝ラン. http://t.co/dQPGMXvm #RunKeeper
@farrellyjohn 日本語を勉強しているんですね～。凄い！
@farrellyjohn English please.
@farrellyjohn I lived in NewZealand.
