text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@__10krr 著名人が二人も出てきた時点でもうついていけなくなりました。あなたは常に僕の二歩先を行っています。
@black_ayatan 小速しさん
@natsuki_taro 鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外
@__10krr 正解です。じゃあ強い林さんは？（ヒント:林さんは強い）
@Maikan_s 炒った豆のみを食べろ
@akane_21_ngs 鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！
@seppuku19 ？
@pink_florid 鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼はー！外！鬼
【速い林さんあるある】速しさん
@anueky ヤッター！！少し溢れているように見えます（そういう柄かも知れません）
@ZEBS0 アアアアアアアアアアアアアアアアアアーーーーーーッッッ！！！！！！wwwwwww　　　      ＜(´･_･`) ＞　　　　  ＼(　  　)／　　　　　　╰U╯
@ZEBS0 嫌です！
@CHK893 キャスはしないし1000遡れ（理不尽）
@ryo_n87039 オタクっぽい見た目だけどオタクじゃないのでアイドルはわかりません
@nekoguma55 ガチゲーマーのくせに！？彼女はdlcじゃ無いんだぞ！
@_chottomatecha_ ありがとう
@O_7oM 働きすぎて気が狂ってしまいました
こうして国道の中央分離帯に真っ裸で立ち、往き来する車にサムズアップでエールを送るのが私の日課です。かつてはCAとして各国を飛び回り、業界の方なら誰もが知る地位まで上り詰めた私だけど、同時に満たされない気持ちに矛盾を感じていました。そして行き着いた場所が此処。私が最も、輝ける場所。
@0506Micchimichi マジすか…そこまで言われたら逆に嬉しいですよ。僕のときはせいぜい体を強張らせながら道を空けるくらいでしたから
@_____O45 走らずに速く移動できるんだぞ！！！楽しいに決まってるだろ！！！！
@_ku_ne_TSF 郊外に展開してる若者向けのリサイクルショップのポップみたい（伝わって欲しい）
@rkdmni 限界までだぞ！？七分とかならまだしも限界！誰でもキモくなります！
@tomatoMatsugE 腕は通常の歩行と変わりません。何せ歩幅が増えるだけですから
@96xxlov おめでとうございます。まさか僕と同じ道を進まれるとは。教示者として、有能な若者を世に送り出して下さい。
@jukottuan 今回はかなりやばかった。瀬戸際までいった。
最強の歩行術を考案しました。脚を前後させる速さは変えず、歩幅だけを限界まで広げます。駆け足より疲れない上に、驚く程速く移動できるので是非試してみて下さい。ただ欠点としては見た目がめちゃくちゃキモくなります。体感では擦れ違う歩行者の約半数が見てきました。
@nachito_8423 友達いないの知ってるのに｢LINEやってる？」なんて聞かないで。性格変えた方がいいかもよ…
"@nachito_8423 そりゃお前、""ゲレンデが溶けるほど恋したい""からに決まってんじゃん"
@25255555_os うるせぇ！！！！友達がいる奴はいないいない言っている！いない奴はいるいる言っていない！
@sekaiju3478 せかいじゅのしずく
@MashRoom0302 ＿人人人人人人＿＞　 MURORAN　＜￣Y^Y^Y^Y^Y￣
@yuuuuuuu_____07 でも開かないと書き出ししか見れないでしょうから｢これマジやばい」とか書いてあったら、あなたはもう正気じゃいられない。
@Shiiiiiitake6x6 そう言ってお前は友達がそれなりにいる。材料厨はガチ！w
@_O_K_T_I_J_T_ 一生やるものか、という気持ちになりました。
@slf_25 ｢なるほど」ってよく使うけど今年に入って一番｢なるほど」って思った
LINEやってないから推測なんですけど、LINEとツイッターの両方のアカウントを知られてる人から｢なんでLINEは返してくれないのにツイッターやってるの？」って思われるのが嫌で気軽に呟けない人がたくさんいると思います。
@_i8i  犬山モンキーパーク＿人人人人＿＞　 🐮　＜￣Y^Y^Y￣
@_i8i  I　N　A　Z　A　W　A一可愛い
@cayenne_78cm  ( ◠‿◠ )☛そこに気づいてしまったか..
@2052Moe どうしたの？
@43cy_s けど、どちらかと言うとこちらの方が実物に近いです
@penta_nico ありがとうございます！聞かれたくて！どうしたの、って聞かれたくて！
@madotsuki_ それはぽまえw
@SiNxxx526 前髪が（実際に）無い者同士仲良くして下さい。
@na_rp2 触れるどころか景観を概ね説明しちゃってるよ！！！！！！！！
@SiNxxx526 ちょwアイコン被ってるじゃないですかw
@ryotarosmile816 アイコン似てますよね
思いきって、前髪を切った。｢どうしたの？」って聞かれたくて
@nekoguma55 なるほどな。3dsで対戦しましょう。
@bakkkky 面倒でそのままになってます。代わりに戻してください！
@nekoguma55 厨キャラだと思いきや、強い人が使うとホント手がつけられないですね。ガーキャン掴み間に合わないし！ガノンで勝率3、4割といったところです。
@ririannnnn 余談ですが、若い頃は麓の女中を片っ端からかどわかし｢シュブ＝ニグラス-黒い山羊-」と言う通り名で恐れられていました。
@repowin_best そうだ。健闘を祈っている
@nekoguma55 いいえ（やったことなし）
@mountainowarai オセロとか誘って下さい
@repowin_best なるほど…俺はそうなったら一度抜いてリセットかける
@mountainowarai お誘い大変ありがたいですが、仕事&ルールを知らない、の二重苦です…
@repowin_best https://pic.twitter.com/F7Fu0g186I
@mi_mimi_o Bだよ！！僕も意外とBまだだったんだ！？！？ってなりました！女主人公のけしからん下乳！！！あなたは新情報を掴んだらすぐさま僕にリプを下さい！！！
@mi_mimi_o TOB？もしかして発売日出た！？！？！？！？！？
@repowin_best 行為だけでもジビドロテストステロンに変換されるのでダメ。
オンジ｢勃った！ちんぽが勃った！」（18年ぶりの勃起に冷静さを欠き大声を上げる）
@hpkawaii 大口を叩くだけあってなかなかのテクだったぜ！演奏中に耳を舐めてやりました。
@zaizennkennya それはないけど爪はガチで持っていかれそうになったよ（パネルの隙間に挟まれて）
@Tkt_Ktk 鬼畜プレイの一種だと思いきや全表示するとなんとまぁ微笑ましい光景
ゲーセンでユビートをプレイしてたら後ろから｢恐れ入ります！もしかしてド素人の方ですか！？差し支えなければすっこんで頂き筐体を明け渡して頂いてもよろしいでしょうか！？」と聞かれたので｢グギギ…」と唇を噛みながらプレイ権を譲りました。
@kunu_ami_2525 またリアル大乱闘をしましょう。
@0pad0jad 何もしてないのに第一印象を地に落とすなんてそんなのアリかよ！道理で｢足の裏をこっちに向けないで下さい」って言われた訳だ…｢いやこれ顔です！顔面！」という定番の返しをしました。
@sgtrin 自分ではかなり良くなってると思ってたんですが…いつかやりたいですね（需要が無さすぎてほぼ対談になります）。ポテチは7割食べました。いくら大食漢の僕でもあのアメリカンサイズを一晩で平らげるのは無理でした…どこで売ってんだよあんなの！！？？
@manga_m どうもありがとうございました！そうは仰いますが例えばWANDSの話とかされても｢名前は知ってます」くらいしか返答できなかったので逆にプラで良かったです。猫背はまぁノートルダムの徒名を恣にしているくらいなのでそう言って頂けると光栄です。
@ririannnnn 登壇時におきましても一枚捲ったらすっぽんぽんという状況に終始興奮していました。貴女の方こそ青い洋服をお召しでしたのでキマリ･ロンゾ（私がケモナーで連想する性的対象者）の体皮を表していたのかな等と考えていました。レポまで書いて頂き本当にありがとうございました
