自動評価,ジドウヒョウカ
翻訳以外,ホンヤクイガイ
説明文,セツメイブン
プログラミング初心者,プログラミングショシンシャ
最近Python,サイキンパイソン
論文タイトル,ロンブンタイトル
研究者,ケンキュウシャ
一回,イチカイ
統計的機械翻訳,トウケイテキキカイホンヤク
指導教員,シドウキョウイン
NAISTスプリング,ナイストスプリング
スプリングセミナー,スプリングセミナー
随時参加者募集,ズイジサンカシャボシュウ
参加者募集中,サンカシャボシュウチュウ
応募者,オウボシャ
特定分野,トクテイブンヤ
特定分野,トクテイブンヤ
一般分野,イッパンブンヤ
マルチモーダル,マルチモーダル
モーダルインタラクション,モーダルインタラクション
対話処理,タイワショリ
NAIST知能,ナイストチノウ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
共同研究,キョウドウケンキュウ
InterSpeech,インテルスピーチ
予稿集,ヨコウシュウ
個後,コゴ
中村研,ナカムラケン
知識発見,チシキハッケン
音声認識システム,オンセイニンシキシステム
機械学習入門,キカイガクシュウニュウモン
脳インターフェイス,ノウインターフェイス
スプリングセミナー,スプリングセミナー
2日間,フツカカン
間研究室,カンケンキュウシツ
研究テーマ,ケンキュウテーマ
受講生,ジュコウセイ
是非NAIST,ゼヒナイスト
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
Ustream配信,ユーストリームハイシン
分程度,フンテイド
Ustream配信,ユーストリームハイシン
年分,ネンブン
招待講演,ショウタイコウエン
男女比,ダンジョヒ
招待講演,ショウタイコウエン
講演等,コウエントウ
男女比,ダンジョヒ
改善策,カイゼンサク
招待講演,ショウタイコウエン
研究者,ケンキュウシャ
改善策,カイゼンサク
男女比,ダンジョヒ
招待講演,ショウタイコウエン
中村研,ナカムラケン
受賞ラッシュ,ジュショウラッシュ
それぞれ学生,ソレゾレガクセイ
学生発表,ガクセイハッピョウ
発表賞,ハッピョウショウ
発表賞,ハッピョウショウ
中村先生,ナカムラセンセイ
情報科学研究科,ジョウホウカガクケンキュウカ
知能コミュニケーション,チノウコミュニケーション
コミュニケーション研究室,コミュニケーションケンキュウシツ
研究室だらけ,ケンキュウシツダラケ
だらけw,ダラケワット
対訳データ,タイヤクデータ
分野適応,ブンヤテキオウ
音響モデル,オンキョウモデル
ニューラル翻訳,ニューラルホンヤク
翻訳システム,ホンヤクシステム
分野適応,ブンヤテキオウ
効果自体,コウカジタイ
学習率,ガクシュウリツ
データ数,データスウ
ベトナム語タスク,ベトナムゴタスク
国際機械翻訳,コクサイキカイホンヤク
機械翻訳コンペ,キカイホンヤクコンペ
英独,エイドク
独翻訳,ドクホンヤク
スタンフォード大学,スタンフォードダイガク
翻訳システム,ホンヤクシステム
位チーム,イチーム
ニューラル翻訳,ニューラルホンヤク
論文誌,ロンブンシ
意味解析,イミカイセキ
検索クエリ,ケンサククエリ
潜在的,センザイテキ
意味解析,イミカイセキ
言い換え表現,イイカエヒョウゲン
音声翻訳,オンセイホンヤク
国際ワークショップ,コクサイワークショップ
中村研,ナカムラケン
自己学習,ジコガクシュウ
強調翻訳,キョウチョウホンヤク
構文木職人,コウブンギショクニン
構文木職人,コウブンギショクニン
数年,スウネン
年前,ネンマエ
前さん,マエサン
サーベイ論文,サーベイロンブン
最終版,サイシュウバン
音声認識器,オンセイニンシキキ
年前,ネンマエ
年前,ネンマエ
廃藩,ハイハン
藩制度,ハンセイド
年前,ネンマエ
認識器,ニンシキキ
翻訳精度,ホンヤクセイド
並列句,ヘイレツク
言語処理,ゲンゴショリ
トップ論文,トップロンブン
論文誌,ロンブンシ
検索クエリ,ケンサククエリ
単語列,タンゴレツ
意味解析,イミカイセキ
潜在的,センザイテキ
意味解析,イミカイセキ
解析精度,カイセキセイド
近日公開,キンジツコウカイ
言語処理,ゲンゴショリ
ニューラルネット入門,ニューラルネットニュウモン
言語処理,ゲンゴショリ
必見資料,ヒッケンシリョウ
著者紹介,チョシャショウカイ
ラーメン関係,ラーメンカンケイ
中村研,ナカムラケン
さ爆発,サバクハツ
正規化処理,セイキカショリ
byyours,ビーワイユアーズ
yourself,ユアーズエルフ
elfand,エルフアンド
tothe,トゥザ
京都大学,キョウトダイガク
学習法,ガクシュウホウ
実用的,ジツヨウテキ
共著者,キョウチョシャ
トップ国際,トップコクサイ
国際会議,コクサイカイギ
中村研,ナカムラケン
ゼミ室,ゼミシツ
言語横断,ゲンゴオウダン
横断質問,オウダンシツモン
質問応答,シツモンオウトウ
翻訳結果,ホンヤクケッカ
翻訳結果,ホンヤクケッカ
質問応答,シツモンオウトウ
評価尺度,ヒョウカシャクド
最適化,サイテキカ
ニューラルネットモデル,ニューラルネットモデル
クラスソフトマックス,クラスソフトマックス
ソフトマックス関数,ソフトマックスカンスウ
値分類,チブンルイ
高速化,コウソクカ
ポスドク１,ポスドクイチ
１名,イチメイ
脳波情報,ノウハジョウホウ
InterSpeech,インテルスピーチ
InterSpeech,インテルスピーチ
Twitter上,ツイッタージョウ
InterSpeech,インテルスピーチ
肉伝導,ニクデンドウ
伝導マイク,デンドウマイク
可聴つぶやき,カチョウツブヤキ
つぶやき変換,ツブヤキヘンカン
空気伝導,クウキデンドウ
伝導マイク,デンドウマイク
InterSpeech,インテルスピーチ
人がどこ,ジンガドコ
ポーズ推定,ポーズスイテイ
係り受け解析,カカリウケカイセキ
係り受け木,カカリウケキ
両方付与,リョウホウフヨ
InterSpeech,インテルスピーチ
母語話者,ボゴワシャ
英語音声,エイゴオンセイ
きれいな発音,キレイナハツオン
音声合成器,オンセイゴウセイキ
音韻情報,オンインジョウホウ
部分的補正,ブブンテキホセイ
言語学習,ゲンゴガクシュウ
InterSpeech,インテルスピーチ
差分スペクトラム,サブンスペクトラム
スペクトラム補正,スペクトラムホセイ
歌声変換,ウタゴエヘンカン
系列内,ケイレツナイ
内変動,ナイヘンドウ
変換性能,ヘンカンセイノウ
InterSpeech,インテルスピーチ
音声翻訳,オンセイホンヤク
線形回帰隠れ,センケイカイキカクレ
隠れセミ,カクレセミ
セミマルコフモデル,セミマルコフモデル
InterSpeech,インテルスピーチ
調音機構,チョウオンキコウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
差分スペクトル,サブンスペクトル
スペクトル補正,スペクトルホセイ
変換法,ヘンカンホウ
直感的,チョッカンテキ
音声変換,オンセイヘンカン
変換技術,ヘンカンギジュツ
InterSpeech,インテルスピーチ
同時音声,ドウジオンセイ
音声翻訳,オンセイホンヤク
人手評価,ヒトデヒョウカ
ランキング学習,ランキングガクシュウ
重要度,ジュウヨウド
定量化,テイリョウカ
InterSpeech,インテルスピーチ
の歴史的,ニホンコウクウノレキシテキ
音響学会,オンキョウガッカイ
宣伝効果,センデンコウカ
効果抜群,コウカバツグン
フォント周り,フォントマワリ
教育システム情報,キョウイクシステムジョウホウ
システム情報学会,システムジョウホウガッカイ
学会全国大会,ガッカイゼンコクタイカイ
疑似コード,ギジコード
自動生成,ジドウセイセイ
プログラミング初心者,プログラミングショシンシャ
中村研,ナカムラケン
戸田先生,トダセンセイ
戸田先生,トダセンセイ
言語処理,ゲンゴショリ
荒牧先生,アラマキセンセイ
ソーシャルコンピューティング,ソーシャルコンピューティング
コンピューティング研究室,コンピューティングケンキュウシツ
中村研,ナカムラケン
分野別,ブンヤベツ
言語処理,ゲンゴショリ
学術情報,ガクジュツジョウホウ
情報メディア,ジョウホウメディア
メディアセンター,メディアセンター
センターセミナー,センターセミナー
ニューラルMT,ニューラルエムティー
統計モデル,トウケイモデル
IBMモデル,アイビーエムモデル
モデル以来,モデルイライ
