無意識的,ムイシキテキ
下宿先,ゲシュクサキ
緊急貸与,キンキュウタイヨ
学生課,ガクセイカ
課奨学金,カショウガクキン
奨学金係,ショウガクキンガカリ
講義中,コウギチュウ
学生たち,ガクセイタチ
緊張感,キンチョウカン
頑丈そう,ガンジョウソウ
電気水道,デンキスイドウ
水道ガス,スイドウガス
ガス全部,ガスゼンブ
１週間,イチシュウカン
モノ不足,モノフソク
被災地優先,ヒサイチユウセン
やまなみ荘,ヤマナミソウ
福岡大学セミナーハウス,フクオカダイガクセミナーハウス
被災学生,ヒサイガクセイ
福大生,フクダイセイ
生向け,セイムケ
本学学生,ホンガクガクセイ
学生課,ガクセイカ
被災学生支援,ヒサイガクセイシエン
広域避難,コウイキヒナン
下宿先,ゲシュクサキ
福大生,フクダイセイ
生向け,セイムケ
2016年度,ニセンジュウロクネンド
度海外,ドカイガイ
海外研修プログラム,カイガイケンシュウプログラム
學校,マナブコウ
海外研修,カイガイケンシュウ
申し込み受付,モウシコミウケツケ
FUポータル,エフユーポータル
ポータル参照,ポータルサンショウ
昨日野球,キノウヤキュウ
チケット代,チケットダイ
払い戻し等々,ハライモドシトウトウ
八景水谷公園,ハケノミヤコウエン
クラウド利活用,クラウドリカツヨウ
利活用一覧,リカツヨウイチラン
連絡先,レンラクサキ
支援情報,シエンジョウホウ
情報まとめ,ジョウホウマトメ
googleクライシス,グーグルクライシス
クライシスレスポンス,クライシスレスポンス
道マップ,ミチマップ
今日明日,キョウアシタ
二部,ニブ
熊本県内,クマモトケンナイ
短期的,タンキテキ
アパマンショップ緊急,アパマンショップキンキュウ
緊急対策,キンキュウタイサク
対策本部,タイサクホンブ
０３,ゼロサン
３・,サン・
・３,・サン
３２,サンニ
２３,ニサン
３１,サンイチ
１・,イチ・
・８,・ハチ
８０,ハチゼロ
０５,ゼロゴ
５６,ゴロク
無償コンタクトレンズ,ムショウコンタクトレンズ
ハートビート確認,ハートビートカクニン
確認みたい,カクニンミタイ
孤立支援,コリツシエン
物資輸送,ブッシユソウ
輸送みたい,ユソウミタイ
ドローン宅配みたい,ドローンタクハイミタイ
小規模噴火,ショウキボフンカ
月イチ,ツキイチ
ドミノ的,ドミノテキ
coolhead,クールヘッド
warmheart,ウォームハート
福大生,フクダイセイ
FUポータル,エフユーポータル
被災学生,ヒサイガクセイ
学生支援機構,ガクセイシエンキコウ
機構奨学金,キコウショウガクキン
緊急採用,キンキュウサイヨウ
第一種奨学金,ダイイッシュショウガクキン
および応急,オヨビオウキュウ
応急採用,オウキュウサイヨウ
第二種奨学金,ダイニシュショウガクキン
申請受付,シンセイウケツケ
受付開始,ウケツケカイシ
福大事務,フクダイジム
採用説明会,サイヨウセツメイカイ
１週間,イチシュウカン
物資供給,ブッシキョウキュウ
流通各社,リュウツウカクシャ
方たち,カタタチ
警察消防,ケイサツショウボウ
無料開放,ムリョウカイホウ
３回,サンカイ
感覚的,カンカクテキ
爆睡中,バクスイチュウ
塚本さん,ツカモトサン
法律違反,ホウリツイハン
法律違反,ホウリツイハン
連鎖販売,レンサハンバイ
法律違反,ホウリツイハン
心底軽蔑,シンソコケイベツ
バスケットマン,バスケットマン
杉本先生,スギモトセンセイ
一緒にバスケ,イッショニバスケ
自分事,ジブンゴト
学内ネットワーク,ガクナイネットワーク
写真みたい,シャシンミタイ
アプリ配信,アプリハイシン
ソフト一覧,ソフトイチラン
adobe製品,アドビセイヒン
mac教室,マックキョウシツ
イラレフォトショ,イラレフォトショ
学内ＰＣ,ガクナイピーシー
mac教室,マックキョウシツ
マイＰＣ,マイピーシー
アプリケーション配信,アプリケーションハイシン
現役大学生,ゲンエキダイガクセイ
学生用,ガクセイヨウ
用オールイン,ヨウオールイン
オールインワン,オールインワン
ワンカード,ワンカード
５名,ゴメイ
名様に,メイサマニ
様に１,サマニイチ
１万,イチマン
万円,マンエン
円プレゼント,エンプレゼント
平成２,ヘイセイニ
２８,ニハチ
８年,ハチネン
年４月,ネンシガツ
４月３,シガツサン
３０,サンゼロ
０日,ゼロニチ
爆買い対策,バクガイタイサク
空港水際,クウコウミズギワ
政治リスク,セイジリスク
リスク折り込み,リスクオリコミ
折り込み済み,オリコミズミ
日本側,ニッポンガワ
過去３,カコサン
３年,サンネン
年分,ネンブン
ゼミ生,ゼミセイ
みやたい,ミヤタイ
千何,センナン
何百,ナンヒャク
百円,ヒャクエン
専門的,センモンテキ
読書代,ドクショダイ
毎月計算,マイツキケイサン
反射反応,ハンシャハンノウ
今月何,コンゲツナニ
５名,ゴメイ
名様に,メイサマニ
様に１,サマニイチ
１万,イチマン
万円,マンエン
円プレゼント,エンプレゼント
西日本シティ,ニシニホンシティ
シティ銀,シティギン
ALL IN ONE学生,オールインワンガクセイ
学生カード,ガクセイカード
在学中年,ザイガクチュウネン
中年会費,チュウネンカイヒ
会費無料,カイヒムリョウ
コンビニATM無料,コンビニエーティエムムリョウ
博多アミュ,ハカタアミュ
SUGOCA付,スゴカヅケ
nimoca付,ニモカヅケ
搭載可,トウサイカ
年２,トシニ
２回,ニカイ
ex.植松,エクスウエマツ
植松努,ウエマツツトム
努氏,ツトムシ
ふらっと九大,フラットキュウダイ
近場,コンジョウ
飲食以外,インショクイガイ
実践的,ジッセンテキ
たくさん機会,タクサンキカイ
広告作り,コウコクヅクリ
宣伝会議さん,センデンカイギサン
無料イベント,ムリョウイベント
大学生活,ダイガクセイカツ
大和屋行,ヤマトヤコウ
２記念,ニキネン
１記念,イチキネン
有朋会館,アリトモカイカン
ボール借りて,ボールカリテ
借りて通用,カリテツウヨウ
通用門,ツウヨウモン
門付近,モンフキン
その他外国語,ソノタガイコクゴ
文系センター,ブンケイセンター
センター棟,センタートウ
低層階,テイソウカイ
階１,カイイチ
１階,イチカイ
言語教育センター,ゲンゴキョウイクセンター
西村愛子,ニシムラアイコ
愛子さん,アイコサン
englishplaza,イングリッシュプラザ
専門ソフト,センモンソフト
mac教室,マックキョウシツ
文系センター,ブンケイセンター
センター３,センターサン
３階,サンカイ
総合情報処理,ソウゴウジョウホウショリ
情報処理センター,ジョウホウショリセンター
棟裏,トウウラ
就職進路,シュウショクシンロ
進路支援,シンロシエン
支援センター,シエンセンター
１号館,イチゴウカン
号館１,ゴウカンイチ
１階,イチカイ
募集はいつ,ボシュウハイツ
田村先生,タムラセンセイ
一番やる気,イチバンヤルキ
学生生活,ガクセイセイカツ
福大生,フクダイセイ
福大新入生,フクダイシンニュウセイ
新入生向け,シンニュウセイムケ
長期休み,チョウキヤスミ
海外研修,カイガイケンシュウ
夏休み分,ナツヤスミブン
４月後半,シガツコウハン
FUポータル,エフユーポータル
スルーする人,スルースルジン
人多数,ジンタスウ
商学部商学科,ショウガクブショウガッカ
特化,トクカ
履修相談,リシュウソウダン
履修登録期間,リシュウトウロクキカン
入学直後,ニュウガクチョクゴ
ダメ科目,ダメカモク
大学生向け,ダイガクセイムケ
当日券,トウジツケン
学生生活,ガクセイセイカツ
生活用,セイカツヨウ
ウイルス対策ソフト,ウイルスタイサクソフト
年度更新,ネンドコウシン
１人,イチニン
人３,ニンサン
３ライセンス,サンライセンス
福大新入生,フクダイシンニュウセイ
学生全員,ガクセイゼンイン
マイクロソフト社,マイクロソフトシャ
ネット上,ネットジョウ
excel等,エクセルトウ
福大新入生,フクダイシンニュウセイ
自動接続,ジドウセツゾク
パケ節約,パケセツヤク
福大商学部,フクダイショウガクブ
商学部新入生,ショウガクブシンニュウセイ
学部登録,ガクブトウロク
登録可能,トウロクカノウ
配布プリント,ハイフプリント
プリント等,プリントトウ
奨学金説明会,ショウガクキンセツメイカイ
採用候補者,サイヨウコウホシャ
候補者決定,コウホシャケッテイ
決定通知,ケッテイツウチ
通知交付,ツウチコウフ
明日入学,アシタニュウガク
不安混じり,フアンマジリ
プロジェクト等,プロジェクトトウ
一歩,イチホ
無意識的,ムイシキテキ
日本ペン回し,ニッポンペンマワシ
ペン回し協会,ペンマワシキョウカイ
MICE戦略,マイスセンリャク
大学受け入れ,ダイガクウケイレ
受け入れ態勢,ウケイレタイセイ
生活サポート,セイカツサポート
巨司馬,キョウシバ
司馬先生,シバセンセイ
予算等,ヨサントウ
等解決,トウカイケツ
大学全体,ダイガクゼンタイ
積極進取,セッキョクシンシュ
学内限定,ガクナイゲンテイ
本人許可,ホンニンキョカ
面白講義,オモシロコウギ
あとついで,アトツイデ
大学図書館さん,ダイガクトショカンサン
