産総研人工知能,サンソウケンジンコウチノウ
トップカンファレンス,トップカンファレンス
年間お世話,ネンカンオセワ
情報系,ジョウホウケイ
LaTeX環境,ラテフカンキョウ
委託研究,イタクケンキュウ
合算使用,ガッサンシヨウ
研究費,ケンキュウヒ
万円,マンエン
isState,アイエスステート
forAutomatic,フォーオートマティック
採用活動,サイヨウカツドウ
リモート採用,リモートサイヨウ
本格的,ホンカクテキ
公園遊び,コウエンアソビ
個人的視点,コジンテキシテン
回目,カイメ
共同研究,キョウドウケンキュウ
実用寄り,ジツヨウヨリ
企業内部,キギョウナイブ
共同研究,キョウドウケンキュウ
Gatefor,ゲイトフォー
用例翻訳,ヨウレイホンヤク
string統計,ストリングトウケイ
統計翻訳,トウケイホンヤク
二強,ニキョウ
ニューラル翻訳,ニューラルホンヤク
子たち,コタチ
年齢保育,ネンレイホイク
子たち,コタチ
松本先生,マツモトセンセイ
ニューラル翻訳,ニューラルホンヤク
機械翻訳志望,キカイホンヤクシボウ
年後,ネンゴ
研究室メンバー,ケンキュウシツメンバー
MTグループ,エムティーグループ
１つ内定,ヒトツナイテイ
応募先,オウボサキ
選考側,センコウガワ
内定者,ナイテイシャ
具体的,グタイテキ
文量,ブンリョウ
講義準備,コウギジュンビ
自動採点,ジドウサイテン
採点システム,サイテンシステム
課題内容,カダイナイヨウ
一元管理,イチゲンカンリ
東北大学電気,トウホクダイガクデンキ
電気情報,デンキジョウホウ
情報物理工学科,ジョウホウブツリコウガクカ
プログラミング演習,プログラミングエンシュウ
ウェブサイト今年度,ウェブサイトコンネンド
学内限定,ガクナイゲンテイ
限定アクセス,ゲンテイアクセス
人中,ニンチュウ
査読付き,サドクツキ
付き国際,ツキコクサイ
国際会議,コクサイカイギ
今年中,コトシチュウ
2017年4月,ニセンジュウナナネンシガツ
4月開催,シガツカイサイ
トップ国際,トップコクサイ
国際会議,コクサイカイギ
ダブルブラインド,ダブルブラインド
多様さ,タヨウサ
在学中,ザイガクチュウ
合否判定,ゴウヒハンテイ
判定前,ハンテイマエ
論文投稿,ロンブントウコウ
うち最低,ウチサイテイ
最低１,サイテイイチ
１人,イチニン
ひとはダメ,ヒトハダメ
日付的,ヒヅケテキ
一人,イチニン
最初期,サイショキ
参照解析,サンショウカイセキ
参照解析,サンショウカイセキ
人研究室,ニンケンキュウシツ
研究室見学,ケンキュウシツケンガク
人目,ニンメ
受験希望,ジュケンキボウ
希望者,キボウシャ
保護者会,ホゴシャカイ
switch文,スイッチブン
明日飯田橋,アシタイイダバシ
飯田橋キャンパス,イイダバシキャンパス
個別面談,コベツメンダン
研究相談,ケンキュウソウダン
それ以外,ソレイガイ
授業期間,ジュギョウキカン
毎週グループ,マイシュウグループ
進捗報告,シンチョクホウコク
分程度,フンテイド
長期休暇,チョウキキュウカ
休暇中,キュウカチュウ
対外発表,タイガイハッピョウ
毎週進捗,マイシュウシンチョク
進捗報告,シンチョクホウコク
松本先生,マツモトセンセイ
進捗報告,シンチョクホウコク
個人面談,コジンメンダン
午前中,ゴゼンチュウ
松本先生,マツモトセンセイ
今度日本,コンドニッポン
最初これ,サイショコレ
ポスター会場,ポスターカイジョウ
accepted,アクセプトイーディー
edat,イーディーアット
数年,スウネン
問題で先,モンダイデサキ
1日朝,ツイタチアサ
年前,ネンマエ
AIチーム,アイチーム
複数テーマ,フクスウテーマ
情報系,ジョウホウケイ
全部モダン,ゼンブモダン
年後,ネンゴ
教員人生,キョウインジンセイ
最大公約数的なもの,サイダイコウヤクスウテキナモノ
将来的,ショウライテキ
岡崎さん,オカザキサン
岡崎さん,オカザキサン
全部提出,ゼンブテイシュツ
言語処理,ゲンゴショリ
英語以外,エイゴイガイ
学部時代,ガクブジダイ
奇跡的,キセキテキ
奇跡的,キセキテキ
奇跡的,キセキテキ
時間確保,ジカンカクホ
MT勉強会,エムティーベンキョウカイ
松本研,マツモトケン
うち中村,ウチナカムラ
中村研,ナカムラケン
研究室各位,ケンキュウシツカクイ
ピボット翻訳,ピボットホンヤク
能動学習,ノウドウガクシュウ
こと検索,コトケンサク
アーキテクチャ的,アーキテクチャテキ
深層学習,シンソウガクシュウ
学習向け,ガクシュウムケ
枚刺し,マイザシ
枚刺し,マイザシ
枚刺し,マイザシ
計算機関係,ケイサンキカンケイ
万円,マンエン
複数枚,フクスウマイ
ワークステーション複数,ワークステーションフクスウ
複数台,フクスウダイ
深層学習組,シンソウガクシュウソ
後者希望,コウシャキボウ
6月以降,ロクガツイコウ
管理コスト,カンリコスト
何度,ナンド
一番職位,イチバンショクイ
大学院教務,ダイガクインキョウム
教授会後,キョウジュカイゴ
午前中,ゴゼンチュウ
論文紹介,ロンブンショウカイ
GoogleHome,グーグルホーム
コア技術,コアギジュツ
共著者,キョウチョシャ
ではFP,デハエフピィ
Pascal世代,パスカルセダイ
初心者向け,ショシンシャムケ
向け資料,ムケシリョウ
グラム先生,グラムセンセイ
先生スライド,センセイスライド
高村先生,タカムラセンセイ
先生本,センセイホン
本ノック,ホンノック
優秀研究,ユウシュウケンキュウ
研究賞,ケンキュウショウ
研究室文化,ケンキュウシツブンカ
世の中的,ヨノナカテキ
配属後,ハイゾクゴ
章タイトル,アキラタイトル
かっこよすぎ,カッコヨスギ
NL研,エヌエルケン
岡山県立大学,オカヤマケンリツダイガク
申し込み締め切り,モウシコミシメキリ
締め切り6月21日,シメキリロクガツニジュウイチニチ
原稿締め切り,ゲンコウシメキリ
締め切り7月5日,シメキリシチガツイツカ
参加お待ち,サンカオマチ
学生諸氏,ガクセイショシ
年選手,ネンセンシュ
ミーティングだらけ,ミーティングダラケ
業務連絡,ギョウムレンラク
論文紹介,ロンブンショウカイ
参加予定,サンカヨテイ
あと綺麗,アトキレイ
CG女子高生,シージージョシコウセイ
ウィズニュース,ウィズニュース
人程度,ニンテイド
人見学,ニンケンガク
異常さ,イジョウサ
言語処理,ゲンゴショリ
研究者,ケンキュウシャ
者人生,シャジンセイ
自然言語処理研究会,シゼンゲンゴショリケンキュウカイ
音声言語処理,オンセイゲンゴショリ
処理研究会,ショリケンキュウカイ
学生奨励賞,ガクセイショウレイショウ
2日間外,フツカマハズレ
NTTCS,エヌティーティーシーエス
CS研,シーエスケン
研究テーマ,ケンキュウテーマ
メールベース,メールベース
学生賞,ガクセイショウ
CS研,シーエスケン
夏期インターン,カキインターン
インターン最高,インターンサイコウ
RT本日,アールティーホンジツ
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
音声情報処理,オンセイジョウホウショリ
情報処理合同,ジョウホウショリゴウドウ
合同研究会,ゴウドウケンキュウカイ
配信アドレス,ハイシンアドレス
規模コーパス,キボコーパス
言語分析,ゲンゴブンセキ
日本語二,ニホンゴニ
二重,ニジュウ
重目的,ジュウモクテキ
目的公文,モクテキコウブン
基本語順,キホンゴジュン
RT配信,アールティーハイシン
配信アドレス,ハイシンアドレス
いま持,イマジ
持橋,ジキョウ
橋さん,キョウサン
無限木構造,ムゲンモクコウゾウ
木構造隠れ,モクコウゾウカクレ
階層的,カイソウテキ
的品詞,テキヒンシ
RT本日,アールティーホンジツ
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
音声情報処理,オンセイジョウホウショリ
情報処理合同,ジョウホウショリゴウドウ
合同研究会,ゴウドウケンキュウカイ
配信アドレス,ハイシンアドレス
情報処理学会自然言語処理,ジョウホウショリガッカイシゼンゲンゴショリ
音声情報処理,オンセイジョウホウショリ
情報処理合同,ジョウホウショリゴウドウ
合同研究会,ゴウドウケンキュウカイ
配信アドレス,ハイシンアドレス
応用事例,オウヨウジレイ
定式化,テイシキカ
査読者,サドクシャ
定式化,テイシキカ
分野では,ブンヤデハ
では程度,デハテイド
低い仕事,テイイシゴト
自ら発話,ミズカラハツワ
発話しません,ハツワシマセン
もしコンビニ,モシコンビニ
車通勤,クルマツウキン
保育園用,ホイクエンヨウ
お出かけ用,オデカケヨウ
ママバッグ,ママバッグ
人中,ニンチュウ
博士後期,ハカセコウキ
